Topic,Growth_Ratio,Recent_Changepoint,Avg_Severity,Risk_Score,Name,Representation,Count
472,0.909090909090909,False,1.5348837209302326,1.60676532769556,472_altimeter_fl280_airspeed_altitude,"['altimeter', 'fl280', 'airspeed', 'altitude', 'alt', 'autopilot', 'rvsm', 'setting', 'altitude entered', 'unreliable']",43
114,1.521739130434783,False,0.09859154929577464,1.5967544396815678,114_diagram_taxiway_109_airport diagram,"['diagram', 'taxiway', '109', 'airport diagram', 'taxi', 'chart', 'signage', 'alpha', 'construction', 'taxiways']",71
484,0.909090909090909,False,1.4761904761904763,1.58008658008658,484_localizer_autopilot_glide_glideslope,"['localizer', 'autopilot', 'glide', 'glideslope', 'glide slope', 'slope', 'loc', 'gs', 'captured', 'signal']",42
102,0.909090909090909,False,1.4246575342465753,1.556662515566625,102_flaps_takeoff_setting_flap setting,"['flaps', 'takeoff', 'setting', 'flap setting', 'rejected', 'flap', 'trim', 'rejected takeoff', 'takeoff warning', 'flaps set']",73
24,1.287128712871287,False,0.4111111111111111,1.5517051705170515,24_hazmat_dg_goods_dangerous goods,"['hazmat', 'dg', 'goods', 'dangerous goods', 'cargo', 'dangerous', 'shipment', 'paperwork', 'container', 'loaded']",90
582,0.7142857142857142,False,2.3333333333333335,1.5476190476190477,582_oil_engine_liner_eng oil,"['oil', 'engine', 'liner', 'eng oil', 'eng', 'left engine', 'shutdown', 'right engine', 'zzz1', 'psi']",36
70,0.8333333333333334,False,1.7142857142857142,1.5476190476190477,70_radio_pattern_radio calls_downwind,"['radio', 'pattern', 'radio calls', 'downwind', 'calls', 'ctaf', 'traffic pattern', 'helicopter', 'nmac', 'making radio']",77
316,0.7692307692307692,False,1.9807692307692308,1.5310650887573964,316_rejected_takeoff_abort_rejected takeoff,"['rejected', 'takeoff', 'abort', 'rejected takeoff', 'thrust', 'levers', 'aborted', 'thrust levers', 'rto', 'aborted takeoff']",52
121,1.0714285714285714,False,0.8571428571428571,1.530612244897959,121_taxiway_taxi_taxiing_rj,"['taxiway', 'taxi', 'taxiing', 'rj', 'kilo', '9l', 'ground', 'hold short', 'exit', 'collision']",70
725,0.909090909090909,False,1.3636363636363635,1.5289256198347103,725_tfr_tul_ddg_wires,"['tfr', 'tul', 'ddg', 'wires', 'foreflight', 'radar altimeter', 'camera', 'lightening', 'lightning', 'antenna']",22
583,0.9523809523809524,False,1.2,1.523809523809524,583_big sky_spacing_local_traffic,"['big sky', 'spacing', 'local', 'traffic', 'local assist', 'separation', 'final', 'lane', 'upwind', 'standard']",35
85,1.25,False,0.41333333333333333,1.5083333333333333,85_heading_tammy_arrival_departure,"['heading', 'tammy', 'arrival', 'departure', 'sid', 'fmc', 'direct', 'clearance', 'rnav', 'turn']",75
459,0.6451612903225805,False,2.659090909090909,1.5029325513196479,459_power_rpm_engine power_loss power,"['power', 'rpm', 'engine power', 'loss power', 'loss', 'lose power', 'power loss', 'engine', 'roughness', 'engine roughness']",44
684,0.9523809523809524,False,1.1428571428571428,1.4965986394557824,684_bridge_jetway_jet bridge_door,"['bridge', 'jetway', 'jet bridge', 'door', 'agent', 'jet', 'window', 'ground crew', 'gate agent', 'gate']",28
494,0.8196721311475411,False,1.619047619047619,1.4832162373145983,494_runway redacted_glideslope_redacted_localizer,"['runway redacted', 'glideslope', 'redacted', 'localizer', 'ils', 'visual', 'raw data', 'raw', 'approach', 'identifier']",42
682,0.7692307692307692,False,1.8214285714285714,1.4697802197802194,682_braking_tiller_wind_tailwheel,"['braking', 'tiller', 'wind', 'tailwheel', 'rudder', 'ground loop', 'landings', 'applied', 'directional control', 'wheel']",28
564,0.6521739130434783,False,2.4864864864864864,1.462984723854289,564_altitude alert_low altitude_alert_terrain,"['altitude alert', 'low altitude', 'alert', 'terrain', 'gpws', 'reported receiving', 'warning', 'low', 'foqa', 'terrain warning']",37
